[23:39:35] ======================================================================
[23:39:35] ULTRA V2 — 300 workers, async DB writer, 158 keywords
[23:39:35] ======================================================================
[23:39:35] ROUND 1 | DB: 719,307 | Gap: 280,693
[23:40:10]   W063 + 34 dc:IT engineer|Sheffield|p45
[23:40:10]   W071 + 20 sh:QA engineer|Dallas|p43
[23:40:11]   W068 +  5 dc:blockchain devel|Miami|p40
[23:40:11]   W063 + 32 dc:TypeScript devel|Johannesbu|p41
[23:40:11]   W022 + 34 dc:security enginee|Sydney|p13
[23:40:11]   W049 + 30 dc:microservices en|Houston|p8
[23:40:11]   W096 + 34 dc:AWS engineer|Cape Town|p13
[23:40:11]   W055 + 30 dc:node developer|Lagos|p4
[23:40:11]   W040 +  5 dc:Flutter develope|Kolkata|p5
[23:40:11]   W024 +  9 dc:driver engineer|Lucknow|p18
[23:40:11]   W056 + 34 dc:staff software e|Boston|p5
[23:40:12]   W001 +  5 sh:network architec|Toronto|p33
[23:40:12]   W008 + 14 sh:Spark engineer|Birmingham|p20
[23:40:12]   W096 + 20 sh:deep learning en|New York|p7
[23:40:12]   W075 +  9 dc:driver engineer|Kolkata|p40
[23:40:12]   W022 + 34 dc:junior developer|Jaipur|p4
[23:40:12]   W024 +  8 sh:Perl developer|Houston|p30
[23:40:12]   W033 + 34 dc:machine learning|Tel Aviv|p14
[23:40:12]   W076 + 34 dc:machine learning|Sheffield|p25
[23:40:13]   W044 + 20 sh:senior developer|Manchester|p33
[23:40:13]   W091 + 22 dc:Vue.js developer|Jaipur|p33
[23:40:13]   W052 + 30 dc:lead developer|Vienna|p36
[23:40:14]   W082 + 34 dc:application secu|Dallas|p41
[23:40:14]   W068 +  5 dc:Express develope|Cape Town|p20
[23:40:14]   W056 +  5 dc:Elixir developer|Nagpur|p8
[23:40:14]   W069 +  9 dc:Ruby developer|Amsterdam|p41
[23:40:14]   W074 + 34 dc:ETL developer|Nagpur|p41
[23:40:14]   W061 + 34 dc:Django developer|Houston|p48
[23:40:14]   W000 + 21 dc:payments enginee|Boston|p31
[23:40:14]   W045 +  9 dc:Swift developer|Gurgaon|p10
[23:40:14]   W010 +  9 sh:solutions archit|Edinburgh|p3
[23:40:14]   W048 +  5 dc:Express develope|Sydney|p4
[23:40:14]   W096 + 10 dc:Next.js develope|Gurgaon|p19
