[20:49:08] ==================================================
[20:49:08] FAST SCRAPE — 20 workers, 10000 iterations, 0.08h max
[20:49:08] ==================================================
[20:49:08] Total source items: 139230
[20:49:08] Done: 0, Remaining: 139230
[20:49:08] DB: 195,067 | Gap: 804,933
[20:52:54]   W04 + 50 indeed:embedded systems e|Houston o=100
[20:52:54]   W11 + 49 linkedin:principal engineer|New York o=0
[20:52:54]   W05 + 41 linkedin:security engineer|Los Angele o=100
[20:52:54]   W01 + 49 linkedin:database engineer|Washington o=50
[20:52:54]   W17 + 47 linkedin:penetration tester|Paris o=0
[20:52:58]   W05 + 37 indeed:AR engineer|Austin o=50
[20:53:01]   W07 + 42 linkedin:devrel|Remote o=0
[20:53:04]   W00 + 37 linkedin:SRE|Singapore o=150
[20:53:19]   W08 + 47 indeed:graphics engineer|Dublin o=150
[20:53:19]   W18 + 44 linkedin:robotics engineer|Chennai o=100
[20:53:19]   W09 + 25 linkedin:DevOps|Boston o=50
[20:53:19]   W06 + 43 linkedin:penetration tester|Munich o=100
[20:53:21]   W06 + 34 indeed:platform engineer|Sydney o=50
[20:53:22]   W19 + 45 linkedin:growth engineer|Paris o=50
[20:53:25]   W15 + 31 linkedin:technical lead|Cape Town o=100
[20:53:26]   W05 + 23 linkedin:golang engineer|Sydney o=200
[20:53:27]   W12 + 33 linkedin:payments engineer|Toronto o=200
[20:53:34]   W10 + 26 linkedin:java developer|Seattle o=50
[20:53:34]   W02 + 40 indeed:gcp engineer|Manchester o=150
[20:53:38]   W01 + 35 linkedin:swift developer|Washington o=50
[20:53:42]   W02 + 50 indeed:react developer|Dublin o=200
[20:53:47]   W14 + 29 linkedin:software developer|Washington o=200
[20:53:49]   W19 + 37 linkedin:machine learning e|Boston o=150
[20:53:56]   W09 + 37 linkedin:MLE|Hyderabad o=50
[20:54:04]   W05 + 50 linkedin:business analyst|Pune o=100
[20:54:04]   W03 + 41 linkedin:cloud architect|Bengaluru o=0
[20:54:04]   W15 + 46 linkedin:solutions architec|Vancouver o=0
[20:54:25]   W00 + 37 linkedin:scrum master|Miami o=50
[20:54:25]   W02 + 23 linkedin:platform engineer|Boston o=150
[21:02:23] ==================================================
[21:02:23] FAST SCRAPE — 20 workers, 10000 iterations, 0.13h max
[21:02:23] ==================================================
[21:02:23] Total source items: 139230
[21:02:23] Done: 970, Remaining: 138260
[21:02:24] DB: 200,234 | Gap: 799,766
[21:02:24] Launching 20 workers...
[21:02:37]   W13 + 50 indeed:business analyst|Washington o=150
[21:02:39]   W02 + 47 indeed:technical lead|Manchester o=150
[21:02:52]   W00 + 49 indeed:cloud security eng|Warsaw o=50
[21:02:52]   W12 + 44 indeed:tech lead|Denver o=50
[21:02:52]   W14 + 43 indeed:java developer|San Diego o=150
[21:02:52]   W17 + 29 linkedin:site reliability e| o=0
[21:02:52]   W16 + 32 linkedin:platform engineer|Manchester o=200
[21:02:52]   W18 + 49 linkedin:principal engineer|Manchester o=200
[21:02:53]   W15 + 35 linkedin:blockchain develop|Bangalore o=100
[21:02:57]   W06 + 22 linkedin:gcp engineer|Stockholm o=200
[21:03:00]   W03 + 30 linkedin:gcp engineer|Hyderabad o=0
[21:03:01]   W12 + 33 indeed:QA engineer|Chicago o=50
[21:03:01]   W07 + 49 linkedin:product manager|Vancouver o=200
[21:03:02]   W19 + 42 linkedin:IT recruiter|Seattle o=100
[21:03:03]   W05 + 41 linkedin:graphics engineer|Montreal o=200
[21:03:06]   W11 + 41 linkedin:game developer|London o=50
[21:03:10]   W15 + 41 indeed:terraform engineer|Dublin o=200
[21:03:11]   W04 + 42 linkedin:test automation en|Chicago o=200
[21:05:24] ==================================================
[21:05:24] FAST SCRAPE — 20 workers, 10000 iterations, 0.13h max
[21:05:24] ==================================================
[21:05:24] Total source items: 139230
[21:05:24] Done: 970, Remaining: 138260
[21:05:42] DB: 201,064 | Gap: 798,936
[21:05:42] Launching 20 workers...
[21:05:49]   W17 + 25 indeed:graphics engineer|Melbourne o=0
[21:05:49]   W01 + 24 indeed:embedded systems e|Denver o=50
[21:05:52]   W13 + 25 indeed:computer vision en|Miami o=0
[21:05:54]   W12 + 49 indeed:business analyst|New York o=150
[21:05:58]   W13 + 25 indeed:.NET developer|Houston o=0
[21:05:58]   W07 + 50 indeed:engineering manage|London o=150
[21:06:12]   W01 + 24 linkedin:fintech engineer|New York o=150
[21:06:12]   W16 + 50 linkedin:remote software en|Washington o=100
[21:06:18]   W05 + 39 indeed:python developer|Dublin o=150
[21:06:18]   W00 + 22 linkedin:aws engineer|Melbourne o=150
[21:06:18]   W11 + 24 linkedin:data engineer|Miami o=50
[21:06:18]   W03 + 45 indeed:graphics engineer|Boston o=0
[21:06:19]   W15 + 24 linkedin:aws engineer|Berlin o=50
[21:06:20]   W17 + 35 indeed:cloud security eng|Seattle o=200
[21:06:21]   W10 + 47 linkedin:business analyst|Pune o=0
[21:06:34]   W19 + 28 linkedin:AI engineer|Sydney o=200
[21:06:34]   W13 + 33 linkedin:graphics engineer|Houston o=100
[21:06:40]   W12 + 24 linkedin:graphics engineer|Dublin o=0
[21:06:43]   W06 + 50 linkedin:remote software en|Denver o=200
[21:06:54]   W01 + 46 linkedin:embedded systems e|Denver o=50
[21:06:55]   W00 + 47 linkedin:data analyst|Toronto o=0
[21:06:55]   W02 + 48 linkedin:firmware engineer|San Franci o=200
[21:06:55]   W07 + 31 linkedin:staff engineer|Warsaw o=100
[21:06:55]   W12 + 47 indeed:UX designer|Dublin o=50
[21:06:55]   W10 + 32 linkedin:fintech engineer|San Franci o=200
[21:06:58]   W18 + 40 linkedin:principal engineer|Pune o=150
[21:06:58]   W01 + 34 indeed:python developer|Seattle o=100
[21:07:01]   W12 + 33 indeed:embedded systems e|Melbourne o=0
[21:07:07]   W19 + 38 linkedin:java developer|San Franci o=200
[21:07:07]   W03 + 34 indeed:IT recruiter|Seattle o=50
[21:07:07]   W09 + 38 linkedin:gcp engineer|Seattle o=100
[21:07:08]   W04 + 50 indeed:business analyst|Austin o=200
[21:07:16]   W04 + 49 indeed:test automation en|Chicago o=100
[21:07:18]   W05 + 49 linkedin:QA engineer|Dallas o=0
[21:07:18]   W14 + 45 linkedin:data analyst|Melbourne o=200
[21:07:21]   W06 + 21 linkedin:aws engineer|Boston o=50
[21:07:21]   W08 + 21 linkedin:fintech engineer|San Franci o=150
[21:07:29]   W02 + 47 linkedin:firmware engineer|Seattle o=0
[21:07:36]   W07 + 28 linkedin:developer advocate|Manchester o=200
[21:07:36]   W16 + 25 linkedin:mobile developer|San Diego o=200
[21:07:36]   W05 + 50 indeed:devops engineer|San Franci o=100
[21:07:36]   W00 + 42 linkedin:UX designer|Hyderabad o=100
[21:07:36]   W11 + 43 indeed:gcp engineer|Denver o=100
[21:07:36]   W10 + 40 indeed:search engineer|San Franci o=150
[21:07:36]   W03 + 47 linkedin:data scientist|Munich o=200
[21:07:38]   W09 + 33 linkedin:database engineer|Hyderabad o=200
[21:07:38]   W00 + 48 indeed:AR engineer|Boston o=0
[21:07:38]   W01 + 43 linkedin:computer vision en|Boston o=50
[21:07:38]   W13 + 29 linkedin:NLP engineer|Noida o=200
[21:07:56]   W17 + 22 linkedin:swift developer|Tokyo o=100
[21:07:58]   W19 + 32 linkedin:site reliability e|Warsaw o=0
[21:07:58]   W08 + 31 linkedin:azure engineer|Warsaw o=50
[21:07:59]   W05 + 25 linkedin:blockchain develop|Chicago o=100
[21:08:01]   W14 + 43 linkedin:data analyst|Seattle o=100
[21:08:20]   [500] +2,188 new | DB=203,252 | 834/min | Gap=796,748
[21:08:20]   W11 + 24 linkedin:android developer|London o=100
[21:08:20]   W14 + 43 indeed:scala developer|Washington o=0
[21:08:20]   W16 + 41 linkedin:terraform engineer|Seattle o=150
[21:08:20]   W10 + 26 linkedin:test automation en|Dublin o=150
[21:08:31]   W13 + 49 indeed:product manager|San Franci o=200
[21:08:31]   W09 + 42 linkedin:developer advocate|London o=50
[21:08:31]   W06 + 32 linkedin:VR engineer|Denver o=0
[21:08:31]   W05 + 46 linkedin:solutions architec|Hong Kong o=0
[21:08:32]   W12 + 43 linkedin:remote software en|Bengaluru o=100
[21:08:36]   W02 + 42 linkedin:scrum master|Noida o=50
[21:08:40]   W00 + 49 indeed:principal engineer|Dallas o=200
[21:08:43]   W08 + 47 linkedin:UX designer|Toronto o=200
[21:08:47]   W16 + 25 linkedin:AR engineer|Denver o=0
[21:08:48]   W08 + 46 indeed:data engineer|Manchester o=100
[21:08:49]   W14 + 42 linkedin:graphics engineer|Los Angele o=0
[21:08:52]   W10 + 24 linkedin:infrastructure eng|Seoul o=50
[21:08:53]   W14 + 24 indeed:kubernetes enginee|Vancouver o=0
[21:08:57]   W07 + 36 linkedin:remote software en|Dublin o=50
[21:08:57]   W13 + 26 indeed:azure engineer|Chicago o=100
[21:09:00]   W02 + 41 indeed:swift developer|Dallas o=0
[21:09:04]   W14 + 50 indeed:data scientist|Chicago o=200
[21:09:07]   W17 + 29 indeed:CI/CD engineer|Houston o=200
[21:09:07]   W13 + 34 indeed:remote software en|Dublin o=100
[21:09:07]   W06 + 38 linkedin:growth engineer|Berlin o=150
[21:09:10]   W04 + 28 linkedin:devrel|Vancouver o=200
[21:09:10]   W12 + 47 linkedin:computer vision en|Remote o=200
[21:09:13]   W13 + 45 indeed:engineering manage|Dublin o=0
[21:09:16]   W10 + 26 indeed:payments engineer|Seattle o=200
[21:09:18]   W00 + 47 linkedin:growth engineer|Bengaluru o=150
[21:09:22]   W13 + 23 indeed:aws engineer|Seattle o=150
[21:09:22]   W08 + 32 linkedin:SRE|Tokyo o=150
[21:09:22]   W18 + 40 linkedin:infrastructure eng|Dubai o=100
[21:09:25]   W19 + 34 indeed:computer vision en|Prague o=0
[21:09:28]   W07 + 49 linkedin:test automation en|Sydney o=0
[21:09:34]   W17 + 38 linkedin:game developer|Washington o=0
