[23:31:19] ==================================================
[23:31:19] ULTRA SCRAPE — 100 workers, 0.13h max
[23:31:19] ==================================================
[23:31:19] ATS items: 1,636 | JobSpy items: 504,000 | Total: 505,636
[23:31:19] Done: 0, Remaining: 505,636
[23:31:20] DB: 264,378 | Fresh7d: 264,378 | Gap: 735,622
[23:31:21] Launching 100 workers on 505,636 items...
[23:41:06]   W037 + 39 linkedin:solutions architec o=200
[23:41:07]   W032 + 20 linkedin:web developer o=450
[23:41:07]   W022 + 49 linkedin:business analyst o=100
[00:01:55] ==================================================
[00:01:55] ULTRA SCRAPE — 100 workers, 8.0h max
[00:01:55] ==================================================
[00:01:55] ATS items: 1,636 | JobSpy items: 504,000 | Total: 505,636
[00:01:55] Done: 814, Remaining: 505,636
[00:01:55] DB: 273,520 | Fresh7d: 273,520 | Gap: 726,480
[00:01:56] Launching 100 workers on 505,636 items...
[00:03:30]   W074 + 18 indeed:solutions architec o=0
[00:03:56]   W009 + 20 indeed:senior software en o=100
[00:04:13]   W055 + 21 indeed:principal engineer o=0
[00:04:27]   W025 + 34 indeed:UX designer o=100
[00:04:50]   W030 + 32 indeed:QA engineer o=200
[00:05:08]   W015 + 20 indeed:staff engineer o=250
[00:05:19]   W061 + 28 indeed:NLP engineer o=250
[00:05:21]   W054 + 20 indeed:robotics engineer o=200
[00:05:25]   W019 + 40 indeed:blockchain develop o=150
[00:05:28]   W093 + 37 indeed:internal tools eng o=0
[00:05:40]   W022 + 24 indeed:ruby developer o=200
[00:05:40]   W095 + 33 indeed:VR engineer o=100
[00:05:40]   W063 + 17 indeed:swift developer o=100
[00:05:40]   W014 + 38 indeed:fastapi developer o=300
[00:05:40]   W081 + 28 linkedin:technical lead o=450
[00:05:40]   W035 + 33 indeed:PHP developer o=400
[00:05:41]   W033 + 38 indeed:engineering manage o=200
[00:05:41]   W046 + 28 indeed:security engineer o=250
[00:05:41]   W031 + 25 indeed:automation enginee o=400
[00:05:41]   W051 + 29 indeed:flask developer o=450
[00:05:51]   W017 + 23 indeed:MLOps engineer o=400
[00:05:55]   W084 + 41 indeed:product manager o=400
[00:06:04]   W000 + 25 linkedin:flutter developer o=200
[00:06:15]   W096 + 33 indeed:principal engineer o=350
[00:06:16]   W037 + 48 indeed:business analyst o=0
[00:06:18]   W021 + 30 linkedin:NLP engineer o=200
[00:06:25]   W079 + 27 linkedin:payments engineer o=150
[00:06:26]   W005 + 28 linkedin:junior software en o=0
[00:06:27]   W069 + 33 linkedin:unity developer o=50
[00:06:31]   W089 + 30 linkedin:infrastructure eng o=400
[00:06:31]   W087 + 17 indeed:prompt engineer o=400
[00:06:32]   W045 + 43 linkedin:principal engineer o=450
[00:06:32]   W043 + 24 linkedin:security engineer o=350
[00:06:32]   W056 + 45 linkedin:automation enginee o=0
[00:06:32]   W036 + 39 linkedin:container engineer o=450
[00:06:32]   W058 + 36 linkedin:computer vision en o=300
[00:06:32]   W004 + 29 indeed:kotlin developer o=300
[00:06:32]   W082 + 34 linkedin:junior software en o=400
[00:06:33]   W053 + 31 linkedin:typescript develop o=450
[00:06:33]   W065 + 19 indeed:node.js developer o=450
[00:06:37]   W075 + 49 indeed:incident commander o=450
[00:06:44]   W076 + 26 linkedin:developer experien o=250
[00:06:47]   W026 + 43 linkedin:cloud architect o=400
[00:06:49]   W086 + 22 linkedin:aws engineer o=450
[00:06:55]   W041 + 16 linkedin:graphql engineer o=50
[00:06:56]   W027 + 47 indeed:incident commander o=350
[00:06:57]   W034 + 25 linkedin:cloud architect o=0
[00:07:02]   W072 + 29 linkedin:devrel o=100
[00:07:03]   W032 + 50 linkedin:cybersecurity anal o=0
[00:07:04]   W024 + 21 linkedin:scala developer o=350
[00:07:06]   W002 + 26 linkedin:VR engineer o=150
[00:07:07]   W003 + 27 linkedin:prompt engineer o=0
[00:07:19]   W048 + 49 linkedin:engineering manage o=350
[00:07:20]   W090 + 49 linkedin:engineering manage o=50
[00:07:20]   W091 + 31 linkedin:data scientist o=300
[00:07:21]   W073 + 30 linkedin:computer vision en o=250
[00:07:21]   W059 + 31 linkedin:junior software en o=300
[00:07:24]   W049 + 43 linkedin:solutions architec o=50
[00:07:24]   W085 + 41 linkedin:database engineer o=250
[00:07:24]   W093 + 18 indeed:scala developer o=50
[00:07:24]   W077 + 43 linkedin:quantitative devel o=50
[00:07:24]   W015 + 33 indeed:PHP developer o=300
[00:07:54]   W006 + 27 linkedin:Angular developer o=200
[00:07:54]   W009 + 19 linkedin:machine learning e o=300
[00:07:54]   W040 + 45 indeed:tech lead o=0
[00:07:54]   W055 + 40 linkedin:robotics engineer o=250
[00:07:54]   W098 + 26 linkedin:VR engineer o=50
[00:07:54]   W066 + 24 linkedin:ML platform engine o=200
[00:07:54]   W067 + 39 linkedin:cloud architect o=50
[00:07:54]   W025 + 41 linkedin:database engineer o=150
[00:07:54]   W074 + 39 linkedin:quantitative devel o=350
[00:07:54]   W019 + 47 linkedin:systems engineer o=100
[00:08:12]   W054 + 29 linkedin:robotics engineer o=250
[00:08:13]   W018 + 38 linkedin:staff engineer o=350
[00:08:14]   W051 + 16 indeed:platform developer o=100
[00:08:14]   W057 + 23 linkedin:senior software en o=450
[00:08:16]   W013 + 18 linkedin:senior software en o=50
[00:08:16]   W094 + 17 indeed:MLOps engineer o=350
[00:08:17]   W016 + 17 linkedin:java developer o=50
[00:08:17]   W033 + 36 linkedin:chaos engineer o=200
[00:08:18]   W042 + 36 linkedin:ML platform engine o=0
[00:08:18]   W031 + 26 indeed:robotics engineer o=450
[00:08:18]   W014 + 26 linkedin:prompt engineer o=50
[00:08:18]   W038 + 20 linkedin:golang engineer o=100
[00:08:18]   W017 + 20 indeed:flask developer o=300
[00:08:23]   W088 + 32 indeed:android developer o=450
[00:08:27]   W096 + 48 indeed:incident commander o=50
[00:08:29]   W037 + 23 indeed:storage engineer o=100
[00:08:30]   W084 + 17 indeed:Angular developer o=350
[00:08:34]   W020 + 48 linkedin:business analyst o=200
[00:08:35]   W011 + 33 indeed:automation enginee o=450
[00:08:46]   W092 + 18 indeed:chaos engineer o=50
[00:08:51]   W068 + 24 linkedin:django developer o=100
[00:08:54]   W001 + 27 linkedin:.NET developer o=400
[00:08:55]   W065 + 19 linkedin:prompt engineer o=400
[00:08:57]   W078 + 29 linkedin:kubernetes enginee o=0
[00:09:08]   W087 + 17 indeed:blockchain develop o=200
[00:09:09]   W071 + 32 linkedin:data scientist o=400
[00:09:09]   W075 + 22 indeed:network engineer o=150
[00:09:09]   [500] ATS:5 JS:920 | +1,738 new | DB=276,929 | Fresh7d=276,929 | 241/min | Gap=723,071
[00:09:11]   W043 + 47 indeed:business analyst o=400
[00:09:11]   W036 + 45 linkedin:build engineer o=100
[00:09:11]   W080 + 43 linkedin:data analyst o=200
[00:09:12]   W086 + 39 linkedin:tech lead o=100
[00:09:14]   W027 + 41 linkedin:principal engineer o=0
[00:09:26]   W050 + 37 linkedin:robotics engineer o=150
[00:09:26]   W026 + 44 indeed:tech lead o=450
[00:09:26]   W034 + 32 linkedin:firmware engineer o=400
[00:09:26]   W085 + 37 indeed:product manager o=100
[00:09:26]   W047 + 39 indeed:data analyst o=0
[00:09:26]   W023 + 38 linkedin:kernel engineer o=150
[00:09:26]   W059 + 32 linkedin:identity engineer o=200
[00:09:26]   W060 + 29 linkedin:database engineer o=350
[00:09:26]   W091 + 41 linkedin:cloud architect o=200
[00:09:36]   W077 + 49 linkedin:IT recruiter o=200
[00:09:38]   W015 + 45 linkedin:storage engineer o=150
[00:09:41]   W073 + 47 linkedin:scrum master o=0
[00:09:56]   W062 + 30 linkedin:prompt engineer o=350
[00:10:00]   W009 + 18 linkedin:golang engineer o=400
[00:10:01]   W063 + 38 indeed:security engineer o=300
[00:10:03]   W040 + 17 indeed:prompt engineer o=250
[00:10:05]   W019 + 19 linkedin:developer experien o=300
[00:10:13]   W055 + 24 linkedin:IT recruiter o=200
[00:10:15]   W029 + 39 linkedin:linux engineer o=0
[00:10:16]   W022 + 16 linkedin:internal tools eng o=0
[00:10:16]   W042 + 26 indeed:staff engineer o=350
[00:10:16]   W061 + 24 linkedin:senior software en o=250
[00:10:16]   W098 + 27 linkedin:MLOps engineer o=300
[00:10:16]   W094 + 20 linkedin:analytics engineer o=350
[00:10:16]   W052 + 33 linkedin:product manager o=350
[00:10:16]   W051 + 28 indeed:video engineer o=450
[00:10:16]   W081 + 22 linkedin:Vue.js developer o=100
[00:10:16]   W057 + 34 linkedin:tech lead o=150
[00:10:16]   W033 + 19 linkedin:Vue.js developer o=0
[00:10:22]   W000 + 30 indeed:golang engineer o=250
[00:10:31]   W016 + 28 linkedin:ML platform engine o=350
[00:10:36]   W012 + 44 indeed:principal engineer o=200
[00:10:39]   W011 + 23 linkedin:MLOps engineer o=450
[00:10:41]   W088 + 17 linkedin:firmware engineer o=100
[00:10:43]   W038 + 23 linkedin:platform engineer o=0
[00:10:45]   W082 + 50 indeed:IT recruiter o=150
[00:10:46]   W017 + 22 indeed:fintech engineer o=400
[00:10:52]   W097 + 29 linkedin:chaos engineer o=350
[00:11:02]   W065 + 34 indeed:ruby developer o=350
[00:11:02]   W068 + 30 linkedin:platform engineer o=150
[00:11:02]   W005 + 46 indeed:scrum master o=150
[00:11:02]   W086 + 21 indeed:chaos engineer o=150
[00:11:02]   W092 + 34 linkedin:developer producti o=200
[00:11:02]   W058 + 21 linkedin:golang engineer o=250
[00:11:02]   W053 + 19 linkedin:container engineer o=450
[00:11:02]   W080 + 22 linkedin:java developer o=450
[00:11:03]   W030 + 41 indeed:scrum master o=100
[00:11:03]   W087 + 16 linkedin:node.js developer o=200
[00:11:10]   W032 + 46 linkedin:principal engineer o=150
[00:11:12]   W079 + 26 linkedin:flutter developer o=100
[00:11:13]   W002 + 25 linkedin:developer experien o=350
[00:11:16]   W045 + 26 linkedin:Angular developer o=100
[00:11:18]   W026 + 21 indeed:storage engineer o=350
[00:11:23]   W060 + 17 linkedin:API engineer o=150
[00:11:28]   W073 + 21 indeed:junior software en o=150
[00:11:29]   W090 + 44 indeed:data analyst o=200
[00:11:32]   W023 + 33 linkedin:devrel o=50
[00:12:22]   W003 + 21 linkedin:python developer o=400
[00:12:35]   W007 + 31 indeed:storage engineer o=300
[00:14:02]   [1,000] ATS:11 JS:1,397 | +4,440 new | DB=279,317 | Fresh7d=279,317 | 367/min | Gap=720,683
[00:14:03]   W041 + 23 linkedin:scala developer o=50
[00:14:03]   W093 + 17 linkedin:golang engineer o=50
[00:14:03]   W095 + 20 linkedin:prompt engineer o=200
[00:14:04]   W009 + 32 linkedin:analytics engineer o=450
[00:14:05]   W062 + 43 linkedin:IT recruiter o=350
[00:14:06]   W006 + 36 linkedin:firmware engineer o=150
[00:14:07]   W019 + 48 linkedin:identity engineer o=450
[00:14:36]   W094 + 32 linkedin:embedded systems e o=350
[00:14:38]   W051 + 18 indeed:video engineer o=400
[00:14:39]   W096 + 16 linkedin:frontend developer o=350
[00:14:41]   W012 + 38 indeed:compiler engineer o=50
[00:14:48]   W098 + 32 linkedin:solutions architec o=200
[00:14:50]   W014 + 19 indeed:spring boot develo o=300
[00:14:53]   W038 + 33 indeed:network engineer o=300
[00:14:53]   W016 + 43 linkedin:engineering manage o=400
[00:15:00]   W084 + 17 linkedin:MLOps engineer o=450
[00:15:04]   W064 + 44 indeed:tech lead o=100
[00:15:10]   W010 + 22 linkedin:unity developer o=350
[00:15:11]   W030 + 43 indeed:unity developer o=200
[00:15:11]   W045 + 29 indeed:quantitative devel o=0
[00:15:11]   W001 + 46 linkedin:AR engineer o=100
[00:15:14]   W097 + 18 linkedin:python developer o=300
[00:15:17]   W050 + 17 linkedin:developer producti o=300
[00:15:19]   W099 + 45 linkedin:IT recruiter o=400
[00:15:22]   W053 + 27 linkedin:aws engineer o=400
[00:15:23]   W075 + 32 linkedin:data scientist o=50
[00:15:26]   W079 + 25 indeed:chaos engineer o=300
[00:15:38]   W065 + 25 linkedin:staff engineer o=300
[00:15:44]   W027 + 44 linkedin:database engineer o=200
[00:16:00]   W083 + 29 linkedin:developer producti o=400
[00:16:06]   W059 + 20 linkedin:video engineer o=100
[00:16:07]   W078 + 42 linkedin:compiler engineer o=200
[00:16:07]   W073 + 17 linkedin:kubernetes enginee o=450
[00:16:07]   W015 + 44 linkedin:cybersecurity anal o=100
[00:16:07]   W056 + 50 indeed:IT recruiter o=100
[00:16:20]   W034 + 43 indeed:data analyst o=300
[00:16:26]   W076 + 25 linkedin:.NET developer o=100
[00:16:29]   W049 + 50 indeed:IT recruiter o=400
[00:16:31]   W072 + 22 indeed:ruby developer o=250
[00:16:35]   W018 + 26 linkedin:distributed system o=50
[00:16:38]   W008 + 16 linkedin:CI/CD engineer o=100
[00:16:40]   W023 + 36 linkedin:staff engineer o=450
[00:16:41]   W004 + 23 linkedin:analytics engineer o=300
[00:16:41]   W087 + 46 linkedin:data analyst o=400
[00:16:45]   W047 + 48 linkedin:business analyst o=300
[00:16:57]   W025 + 19 linkedin:penetration tester o=450
[00:16:59]   W069 + 30 linkedin:engineering manage o=50
[00:17:00]   W003 + 50 linkedin:incident commander o=200
[00:17:03]   W067 + 26 indeed:fintech engineer o=300
[00:17:08]   W054 + 29 linkedin:rust developer o=150
[00:17:10]   W041 + 43 linkedin:QA engineer o=100
[00:17:11]   W066 + 48 indeed:quantitative devel o=400
[00:17:14]   W052 + 22 indeed:fintech engineer o=350
[00:17:16]   W013 + 22 indeed:django developer o=400
[00:17:22]   W006 + 20 linkedin:data platform engi o=400
[00:17:23]   W044 + 44 indeed:data analyst o=250
[00:17:23]   W009 + 16 indeed:.NET developer o=450
[00:17:23]   W055 + 17 linkedin:node.js developer o=450
[00:17:24]   W061 + 23 linkedin:SRE o=100
[00:17:25]   W020 + 42 indeed:tech lead o=350
[00:17:26]   W037 + 29 linkedin:machine learning e o=450
[00:17:26]   W000 + 38 indeed:SDE o=250
[00:17:27]   W081 + 33 linkedin:database engineer o=0
[00:17:30]   W057 + 18 indeed:android developer o=400
[00:18:05]   [1,500] ATS:14 JS:1,841 | +6,626 new | DB=281,706 | Fresh7d=281,706 | 411/min | Gap=718,294
[00:18:05]   W012 + 23 linkedin:MLE o=450
[00:18:05]   W002 + 21 indeed:platform engineer o=50
[00:18:07]   W014 + 29 linkedin:product manager o=150
[00:18:07]   W096 + 34 linkedin:ML platform engine o=450
[00:18:07]   W089 + 37 linkedin:devrel o=250
[00:18:07]   W092 + 48 linkedin:cybersecurity anal o=450
[00:18:08]   W038 + 19 linkedin:solutions architec o=400
[00:18:08]   W030 + 46 indeed:quantitative devel o=350
[00:18:08]   W016 + 40 linkedin:video engineer o=50
[00:18:08]   W071 + 17 linkedin:unity developer o=450
[00:18:08]   W010 + 35 linkedin:algorithm engineer o=350
[00:18:08]   W084 + 39 indeed:ruby developer o=450
[00:18:08]   W046 + 30 linkedin:data scientist o=200
[00:18:17]   W085 + 24 linkedin:SRE o=150
[00:18:21]   W017 + 21 indeed:swift developer o=400
[00:18:22]   W080 + 39 indeed:UX designer o=300
[00:18:38]   W064 + 41 linkedin:database engineer o=400
[00:18:42]   W024 + 36 indeed:engineering manage o=300
[00:18:43]   W059 + 21 linkedin:java developer o=200
[00:18:43]   W068 + 28 linkedin:computer vision en o=0
[00:18:44]   W091 + 33 linkedin:quantitative devel o=200
[00:18:44]   W060 + 29 indeed:identity engineer o=250
[00:18:45]   W056 + 30 indeed:video engineer o=150
[00:18:47]   W043 + 31 linkedin:SRE o=200
[00:18:47]   W073 + 24 linkedin:video engineer o=100
[00:18:52]   W078 + 21 indeed:database engineer o=350
[00:18:53]   W027 + 37 indeed:UX designer o=350
[00:18:58]   W077 + 28 linkedin:QA engineer o=450
[00:19:01]   W072 + 16 linkedin:machine learning e o=350
[00:19:01]   W049 + 17 indeed:ios developer o=250
[00:19:01]   W076 + 16 linkedin:senior software en o=0
[00:19:01]   W087 + 48 linkedin:production enginee o=100
[00:19:01]   W042 + 32 indeed:cloud architect o=100
[00:19:01]   W022 + 48 indeed:business analyst o=150
[00:19:03]   W008 + 22 linkedin:gcp engineer o=100
[00:19:31]   W025 + 23 linkedin:generative AI engi o=200
[00:19:31]   W035 + 24 indeed:build engineer o=200
[00:19:33]   W039 + 20 linkedin:AI safety engineer o=0
[00:19:36]   W054 + 35 linkedin:tech lead o=50
[00:19:37]   W090 + 24 linkedin:go developer o=450
[00:19:42]   W052 + 32 linkedin:identity engineer o=150
[00:19:46]   W095 + 24 linkedin:DevOps o=450
[00:19:46]   W088 + 47 linkedin:engineering manage o=300
[00:19:55]   W020 + 28 linkedin:prompt engineer o=250
[00:19:58]   W055 + 33 linkedin:embedded systems e o=100
[00:20:06]   W009 + 27 linkedin:analytics engineer o=50
[00:20:15]   W061 + 26 linkedin:algorithm engineer o=400
[00:20:16]   W044 + 30 linkedin:junior software en o=250
[00:20:17]   W081 + 21 linkedin:terraform engineer o=350
[00:20:19]   W011 + 30 linkedin:game developer o=450
[00:20:19]   W030 + 26 indeed:cloud architect o=250
[00:20:19]   W014 + 22 linkedin:developer producti o=100
[00:20:19]   W012 + 29 linkedin:staff engineer o=400
[00:20:19]   W016 + 44 indeed:UX designer o=250
[00:20:29]   W053 + 40 linkedin:product manager o=250
[00:20:49]   W038 + 42 linkedin:cybersecurity anal o=50
[00:20:55]   W073 + 40 indeed:product manager o=250
[00:20:56]   W017 + 22 linkedin:django developer o=350
[00:20:59]   W078 + 17 indeed:flutter developer o=50
[00:21:01]   W026 + 30 indeed:engineering manage o=450
[00:21:01]   W086 + 17 indeed:automation enginee o=0
[00:21:01]   W027 + 27 indeed:engineering manage o=150
[00:21:01]   W036 + 20 indeed:systems engineer o=0
[00:21:04]   W032 + 21 linkedin:NLP engineer o=0
[00:21:07]   W064 + 43 linkedin:QA engineer o=400
[00:21:10]   W097 + 18 linkedin:payments engineer o=350
[00:21:10]   W042 + 32 indeed:automation enginee o=150
[00:21:12]   W024 + 38 linkedin:kernel engineer o=100
[00:21:13]   W060 + 27 linkedin:cybersecurity anal o=450
[00:21:14]   W091 + 19 linkedin:SRE o=100
[00:21:14]   W058 + 34 linkedin:technical lead o=0
[00:21:23]   W062 + 25 indeed:production enginee o=150
[00:21:27]   W022 + 50 linkedin:production enginee o=150
[00:21:28]   W067 + 44 indeed:technical lead o=350
[00:21:31]   W049 + 21 linkedin:prompt engineer o=300
[00:21:34]   W028 + 42 indeed:cybersecurity anal o=450
[00:21:35]   W003 + 27 linkedin:network engineer o=450
[00:21:37]   W040 + 22 linkedin:Angular developer o=0
[00:21:42]   W023 + 27 linkedin:product manager o=200
[00:21:44]   W077 + 25 linkedin:developer experien o=150
[00:21:49]   [2,000] ATS:16 JS:2,311 | +9,562 new | DB=284,514 | Fresh7d=284,514 | 481/min | Gap=715,486
[00:21:50]   W069 + 21 linkedin:mobile developer o=450
[00:21:53]   W013 + 17 linkedin:aws engineer o=150
[00:22:09]   W039 + 18 linkedin:java developer o=400
[00:22:09]   W051 + 49 linkedin:UX designer o=0
[00:22:09]   W088 + 34 linkedin:firmware engineer o=450
[00:22:16]   W019 + 36 linkedin:principal engineer o=350
[00:22:35]   W006 + 46 linkedin:scrum master o=250
[00:22:41]   W070 + 18 linkedin:platform engineer o=50
[00:22:45]   W033 + 46 linkedin:cybersecurity anal o=250
[00:22:51]   W081 + 16 linkedin:solidity developer o=200
[00:22:52]   W005 + 21 indeed:data scientist o=300
[00:22:53]   W075 + 30 linkedin:game developer o=150
[00:22:53]   W014 + 28 linkedin:react native devel o=50
[00:22:53]   W030 + 27 indeed:react native devel o=400
[00:22:53]   W071 + 38 linkedin:computer vision en o=450
[00:22:55]   W001 + 47 linkedin:build engineer o=250
[00:22:57]   W092 + 38 indeed:rust developer o=400
[00:23:04]   W096 + 20 linkedin:VR engineer o=400
[00:23:06]   W046 + 22 linkedin:cybersecurity anal o=450
