rank,company,country,industry,employees,website,source
786,Mastercard,United States,Financials,,,s&p-500
787,Mid-America Apartment Communities,United States,Real Estate,,,s&p-500
788,Marriott International,United States,Consumer Discretionary,,,s&p-500
789,Masco,United States,Industrials,,,s&p-500
790,Microchip Technology,United States,Information Technology,,,s&p-500
791,Moody's Corporation,United States,Financials,,,s&p-500
792,MGM Resorts,United States,Consumer Discretionary,,,s&p-500
793,McCormick & Company,United States,Consumer Staples,,,s&p-500
794,Martin Marietta Materials,United States,Materials,,,s&p-500
795,Monster Beverage,United States,Consumer Staples,,,s&p-500
796,Altria,United States,Consumer Staples,,,s&p-500
797,Mosaic Company (The),United States,Materials,,,s&p-500
798,Monolithic Power Systems,United States,Information Technology,,,s&p-500
799,Moderna,United States,Health Care,,,s&p-500
800,Marsh McLennan,United States,Financials,,,s&p-500
801,Marvell Technology,United States,Information Technology,,,s&p-500
802,MSCI,United States,Financials,,,s&p-500
803,Motorola Solutions,United States,Information Technology,,,s&p-500
804,M&T Bank,United States,Financials,,,s&p-500
805,Mettler Toledo,United States,Health Care,,,s&p-500
806,Micron Technology,United States,Information Technology,,,s&p-500
807,Norwegian Cruise Line Holdings,United States,Consumer Discretionary,,,s&p-500
808,"Nasdaq, Inc.",United States,Financials,,,s&p-500
809,Nordson Corporation,United States,Industrials,,,s&p-500
810,NextEra Energy,United States,Utilities,,,s&p-500
811,Newmont,United States,Materials,,,s&p-500
812,NiSource,United States,Utilities,,,s&p-500
813,ServiceNow,United States,Information Technology,,,s&p-500
814,NRG Energy,United States,Utilities,,,s&p-500
815,Norfolk Southern,United States,Industrials,,,s&p-500
816,NetApp,United States,Information Technology,,,s&p-500
817,Northern Trust,United States,Financials,,,s&p-500
818,Nvidia,United States,Information Technology,,,s&p-500
819,"NVR, Inc.",United States,Consumer Discretionary,,,s&p-500
820,News Corp (Class B),United States,Communication Services,,,s&p-500
821,News Corp (Class A),United States,Communication Services,,,s&p-500
822,NXP Semiconductors,United States,Information Technology,,,s&p-500
823,Realty Income,United States,Real Estate,,,s&p-500
824,Old Dominion,United States,Industrials,,,s&p-500
825,Oneok,United States,Energy,,,s&p-500
826,Omnicom Group,United States,Communication Services,,,s&p-500
827,ON Semiconductor,United States,Information Technology,,,s&p-500
828,Otis Worldwide,United States,Industrials,,,s&p-500
829,Occidental Petroleum,United States,Energy,,,s&p-500
830,Palo Alto Networks,United States,Information Technology,,,s&p-500
831,Paychex,United States,Industrials,,,s&p-500
832,Paccar,United States,Industrials,,,s&p-500
833,PG&E Corporation,United States,Utilities,,,s&p-500
834,Public Service Enterprise Group,United States,Utilities,,,s&p-500
835,Principal Financial Group,United States,Financials,,,s&p-500
836,Parker Hannifin,United States,Industrials,,,s&p-500
837,PulteGroup,United States,Consumer Discretionary,,,s&p-500
838,Packaging Corporation of America,United States,Materials,,,s&p-500
839,Prologis,United States,Real Estate,,,s&p-500
840,Palantir Technologies,United States,Information Technology,,,s&p-500
841,PNC Financial Services,United States,Financials,,,s&p-500
842,Pentair,United States,Industrials,,,s&p-500
843,Pinnacle West Capital,United States,Utilities,,,s&p-500
844,Insulet Corporation,United States,Health Care,,,s&p-500
845,PPG Industries,United States,Materials,,,s&p-500
846,PPL Corporation,United States,Utilities,,,s&p-500
847,Public Storage,United States,Real Estate,,,s&p-500
848,Paramount Skydance Corporation,United States,Communication Services,,,s&p-500
849,PTC Inc.,United States,Information Technology,,,s&p-500
850,Quanta Services,United States,Industrials,,,s&p-500
851,PayPal,United States,Financials,,,s&p-500
852,Qnity Electronics,United States,Information Technology,,,s&p-500
853,Royal Caribbean Group,United States,Consumer Discretionary,,,s&p-500
854,Regency Centers,United States,Real Estate,,,s&p-500
855,Regeneron Pharmaceuticals,United States,Health Care,,,s&p-500
856,Regions Financial Corporation,United States,Financials,,,s&p-500
857,Raymond James Financial,United States,Financials,,,s&p-500
858,Ralph Lauren Corporation,United States,Consumer Discretionary,,,s&p-500
859,ResMed|,United States,Health Care,,,s&p-500
860,Rockwell Automation,United States,Industrials,,,s&p-500
861,"Rollins, Inc.",United States,Industrials,,,s&p-500
862,Roper Technologies,United States,Information Technology,,,s&p-500
863,Republic Services,United States,Industrials,,,s&p-500
864,Revvity,United States,Health Care,,,s&p-500
865,SBA Communications,United States,Real Estate,,,s&p-500
866,Charles Schwab Corporation,United States,Financials,,,s&p-500
867,Sherwin-Williams,United States,Materials,,,s&p-500
868,J.M. Smucker Company (The),United States,Consumer Staples,,,s&p-500
869,Schlumberger,United States,Energy,,,s&p-500
870,Supermicro,United States,Information Technology,,,s&p-500
871,Snap-on,United States,Industrials,,,s&p-500
872,Sandisk,United States,Information Technology,,,s&p-500
873,Synopsys,United States,Information Technology,,,s&p-500
874,Southern Company,United States,Utilities,,,s&p-500
875,Solventum,United States,Health Care,,,s&p-500
876,Simon Property Group,United States,Real Estate,,,s&p-500
877,S&P Global,United States,Financials,,,s&p-500
878,Sempra,United States,Utilities,,,s&p-500
879,Steris,United States,Health Care,,,s&p-500
880,Steel Dynamics,United States,Materials,,,s&p-500
881,State Street Corporation,United States,Financials,,,s&p-500
882,Seagate Technology,United States,Information Technology,,,s&p-500
883,Constellation Brands,United States,Consumer Staples,,,s&p-500
884,Smurfit Westrock,United States,Materials,,,s&p-500
885,Stanley Black & Decker,United States,Industrials,,,s&p-500
886,Skyworks Solutions,United States,Information Technology,,,s&p-500
887,Synchrony Financial,United States,Financials,,,s&p-500
888,Stryker Corporation,United States,Health Care,,,s&p-500
889,Molson Coors Beverage Company,United States,Consumer Staples,,,s&p-500
890,TransDigm Group,United States,Industrials,,,s&p-500
891,Teledyne Technologies,United States,Information Technology,,,s&p-500
892,Bio-Techne,United States,Health Care,,,s&p-500
893,TE Connectivity,United States,Information Technology,,,s&p-500
894,Teradyne,United States,Information Technology,,,s&p-500
895,Truist Financial,United States,Financials,,,s&p-500
896,TKO Group Holdings,United States,Communication Services,,,s&p-500
897,T-Mobile US,United States,Communication Services,,,s&p-500
898,Texas Pacific Land Corporation,United States,Energy,,,s&p-500
899,"Tapestry, Inc.",United States,Consumer Discretionary,,,s&p-500
900,Targa Resources,United States,Energy,,,s&p-500
901,Trimble Inc.,United States,Information Technology,,,s&p-500
902,T. Rowe Price,United States,Financials,,,s&p-500
903,Travelers Companies (The),United States,Financials,,,s&p-500
904,Tractor Supply,United States,Consumer Discretionary,,,s&p-500
905,Trane Technologies,United States,Industrials,,,s&p-500
906,Trade Desk (The),United States,Communication Services,,,s&p-500
907,Take-Two Interactive,United States,Communication Services,,,s&p-500
908,Texas Instruments,United States,Information Technology,,,s&p-500
909,Textron,United States,Industrials,,,s&p-500
910,Tyler Technologies,United States,Information Technology,,,s&p-500
911,United Airlines Holdings,United States,Industrials,,,s&p-500
912,Uber,United States,Industrials,,,s&p-500
913,"UDR, Inc.",United States,Real Estate,,,s&p-500
914,Universal Health Services,United States,Health Care,,,s&p-500
915,Ulta Beauty,United States,Consumer Discretionary,,,s&p-500
916,Union Pacific Corporation,United States,Industrials,,,s&p-500
917,United Rentals,United States,Industrials,,,s&p-500
918,U.S. Bancorp,United States,Financials,,,s&p-500
919,Visa Inc.,United States,Financials,,,s&p-500
920,Veeva Systems,United States,Health Care,,,s&p-500
921,Vici Properties,United States,Real Estate,,,s&p-500
922,Veralto,United States,Industrials,,,s&p-500
923,Vulcan Materials Company,United States,Materials,,,s&p-500
924,Verisk Analytics,United States,Industrials,,,s&p-500
925,Verisign,United States,Information Technology,,,s&p-500
926,Vertiv,United States,Industrials,,,s&p-500
927,Vertex Pharmaceuticals,United States,Health Care,,,s&p-500
928,Vistra Corp.,United States,Utilities,,,s&p-500
929,Ventas,United States,Real Estate,,,s&p-500
930,Viatris,United States,Health Care,,,s&p-500
931,Verizon,United States,Communication Services,,,s&p-500
932,Wabtec,United States,Industrials,,,s&p-500
933,Waters Corporation,United States,Health Care,,,s&p-500
934,Warner Bros. Discovery,United States,Communication Services,,,s&p-500
935,"Workday, Inc.",United States,Information Technology,,,s&p-500
936,Western Digital,United States,Information Technology,,,s&p-500
937,WEC Energy Group,United States,Utilities,,,s&p-500
938,Welltower,United States,Real Estate,,,s&p-500
939,Waste Management,United States,Industrials,,,s&p-500
940,Williams Companies,United States,Energy,,,s&p-500
941,W. R. Berkley Corporation,United States,Financials,,,s&p-500
942,"Williams-Sonoma, Inc.",United States,Consumer Discretionary,,,s&p-500
943,West Pharmaceutical Services,United States,Health Care,,,s&p-500
944,Willis Towers Watson,United States,Financials,,,s&p-500
945,Weyerhaeuser,United States,Real Estate,,,s&p-500
946,Wynn Resorts,United States,Consumer Discretionary,,,s&p-500
947,Xcel Energy,United States,Utilities,,,s&p-500
948,ExxonMobil,United States,Energy,,,s&p-500
949,Xylem Inc.,United States,Industrials,,,s&p-500
950,"Block, Inc.",United States,Financials,,,s&p-500
951,Yum! Brands,United States,Consumer Discretionary,,,s&p-500
952,Zimmer Biomet,United States,Health Care,,,s&p-500
953,Zebra Technologies,United States,Information Technology,,,s&p-500
954,Zoetis,United States,Health Care,,,s&p-500
955,Anthem,United States,,,,fortune-500-us
956,DuPont de Nemours,United States,,,,fortune-500-us
957,United Technologies,United States,,,,fortune-500-us
958,Facebook,United States,,,,fortune-500-us
959,AIG,United States,,,,fortune-500-us
960,United Continental Holdings,United States,,,,fortune-500-us
961,Tech Data,United States,,,,fortune-500-us
962,USAA,United States,,,,fortune-500-us
963,Twenty-First Century Fox,United States,,,,fortune-500-us
964,Rite Aid,United States,,,,fortune-500-us
965,INTL FCStone,United States,,,,fortune-500-us
966,PBF Energy,United States,,,,fortune-500-us
967,DXC Technology,United States,,,,fortune-500-us
968,Eli Lilly,United States,,,,fortune-500-us
969,CenturyLink,United States,,,,fortune-500-us
970,Penske Automotive Group,United States,,,,fortune-500-us
971,ManpowerGroup,United States,,,,fortune-500-us
972,AutoNation,United States,,,,fortune-500-us
973,Whirlpool,United States,,,,fortune-500-us
974,WellCare Health Plans,United States,,,,fortune-500-us
975,AECOM,United States,,,,fortune-500-us
976,Synnex,United States,,,,fortune-500-us
977,Hartford Financial Services,United States,,,,fortune-500-us
978,Bank of New York Mellon,United States,,,,fortune-500-us
979,Fluor,United States,,,,fortune-500-us
980,Avnet,United States,,,,fortune-500-us
981,Icahn Enterprises,United States,,,,fortune-500-us
982,Molina Healthcare,United States,,,,fortune-500-us
983,HollyFrontier,United States,,,,fortune-500-us
984,NGL Energy Partners,United States,,,,fortune-500-us
985,XPO Logistics,United States,,,,fortune-500-us
986,C.H. Robinson Worldwide,United States,,,,fortune-500-us
987,Lincoln National,United States,,,,fortune-500-us
988,WestRock,United States,,,,fortune-500-us
989,Cognizant Technology Solutions,United States,,,,fortune-500-us
990,Nordstrom,United States,,,,fortune-500-us
991,Supervalu,United States,,,,fortune-500-us
992,Goodyear Tire & Rubber,United States,,,,fortune-500-us
993,Jacobs Engineering Group,United States,,,,fortune-500-us
994,Land O'Lakes,United States,,,,fortune-500-us
995,United States Steel,United States,,,,fortune-500-us
996,Community Health Systems,United States,,,,fortune-500-us
997,Estee Lauder,United States,,,,fortune-500-us
998,DISH Network,United States,,,,fortune-500-us
999,Kellogg,United States,,,,fortune-500-us
1000,Alcoa,United States,,,,fortune-500-us
